Year,Value
200804,0.4876
200805,0.5044
200806,0.5368
200807,0.5846
200808,0.564
200809,0.5378
200810,0.6749
200811,0.6765
200812,0.5682
200901,0.5988
200902,0.5705
200903,0.5829
200904,0.6577
200905,0.593
200906,0.6793
200907,0.6503
200908,0.7055
200909,0.7161
200910,0.6452
200911,0.6771
200912,0.6203
201001,0.7038
201002,0.7107
201003,0.8526
201004,0.8339
201005,0.7618
201006,0.7354
201007,0.7319
201008,0.6633
201009,0.578
201010,0.6292
201011,0.7727
201012,0.493
201101,0.4705
201102,0.4997
201103,0.5943
201104,0.6585
201105,0.5777
201106,0.6496
201107,0.6312
201108,0.6183
201109,0.6046
201110,0.6378
201111,0.4915
201112,0.5531
201201,0.427
201202,0.4268
201203,0.5236
201204,0.7355
201205,0.7242
201206,0.7083
201207,0.693
201208,0.6754
201209,0.7307
201210,0.7093
201211,0.7154
201212,0.4703
201301,0.5941
201302,0.6435
201303,0.6198
201304,0.5667
201305,0.7207
201306,0.6932
201307,0.6741
201308,0.667
201309,0.691
201310,0.6862
201311,0.835
201312,0.7047
201401,0.6987
201402,0.485
201403,0.7762
201404,0.8074
201405,0.8007
201406,0.7693
201407,0.7049
201408,0.8053
201409,0.7965
201410,0.7906
201411,0.6967
201412,0.8397
201501,0.8197
201502,0.8921
201503,0.902
201504,0.7795
201505,0.8658
201506,0.8924
201507,0.8138
201508,0.8862
201509,0.9331
201510,0.9969
201511,0.969
201512,1.128
201601,1.0621
201602,1.197
201603,1.2336
201604,1.0816
201605,0.8882
201606,0.9123
201607,0.8793
201608,0.9066
201609,0.8893
201610,0.7409
201611,0.7591
201612,0.8084
201701,0.8817
